name;simlib-rt-runtime;simlib-rt-parsing;simlib-rt-relation
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;1.98; 1.52528; 0.4585
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.94; 1.4948; 0.4609
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata;0.95; 0.762228; 0.1769
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.83; 0.677374; 0.1533
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata;0.96; 0.78328; 0.1855
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;0.83; 0.67963; 0.1544
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata;0.94; 0.763172; 0.1739
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.92; 0.731849; 0.1740
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata;0.97; 0.806988; 0.1752
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.91; 0.739983; 0.1784
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata;0.94; 0.761157; 0.1770
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;0.84; 0.677309; 0.1551
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata;0.83; 0.679551; 0.1597
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;0.68; 0.565026; 0.1172
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata;0.81; 0.66065; 0.1565
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;0.68; 0.566666; 0.1169
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata;0.89; 0.713487; 0.1727
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;0.8; 0.638216; 0.1508
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata;8.3; 6.78054; 1.3812
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.47; 0.357936; 0.1138
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata;8.3; 6.84254; 1.3838
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;0.65; 0.507747; 0.1479
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata;8.33; 6.91515; 1.3658
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.66; 0.509472; 0.1454
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata;1.73; 1.69395; 0.0448
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.22; 0.218578; 0.0021
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata;1.72; 1.68064; 0.0458
automata/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.22; 0.218129; 0.0021
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata;0.0; 0.0011465; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.09; 0.0862991; 0.0044
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata;1.88; 1.52513; 0.3582
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.09; 0.0862432; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata;0.0; 0.000513212; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.09; 0.0860177; 0.0044
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata;0.13; 0.12208; 0.0062
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.08; 0.0858963; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata;0.14; 0.134121; 0.0067
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.09; 0.0867078; 0.0045
