name;iny-runtime;iny-parsing;iny-relation
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;2.83; 0.0879271; 2.7468
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata;0.0; 0.000553822; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;2.83; 0.0877679; 2.7454
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata;4.88; 0.125119; 4.7550
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;2.85; 0.0884366; 2.7647
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata;7.02; 0.136701; 6.8887
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;2.84; 0.0886744; 2.7537
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata;13.32; 0.196077; 13.1300
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;2.83; 0.0878522; 2.7518
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;2.84; 0.0881627; 2.7575
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata;9.55; 0.19857; 9.3583
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;2.84; 0.0972561; 2.7527
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata;13.23; 0.188154; 13.0395
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;2.84; 0.0884906; 2.7598
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;14.66; 0.229122; 14.4546
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;2.84; 0.0883268; 2.7532
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;13.33; 0.195125; 13.1423
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;2.83; 0.0878647; 2.7550
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00248187; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;2.87; 0.0982703; 2.7713
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;17.97; 0.263778; 17.7089
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;2.83; 0.088001; 2.7534
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;14.62; 0.223742; 14.3978
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;2.84; 0.0893391; 2.7500
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;17.91; 0.26102; 17.6553
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;2.84; 0.088346; 2.7507
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;17.9; 0.254873; 17.6497
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;2.83; 0.0908767; 2.7553
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;17.92; 0.255125; 17.6753
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;2.84; 0.098828; 2.7497
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.13; 0.0377925; 0.0923
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;2.85; 0.0899615; 2.7649
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata;17.87; 0.258177; 17.6220
automata/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;2.84; 0.0966784; 2.7508
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata;0.0; 0.00156771; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;2.85; 0.0955401; 2.7555
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata;0.0; 0.00400379; 0.0002
automata/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;2.87; 0.115307; 2.7620
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;2.84; 0.0884241; 2.7523
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;2.85; 0.0987705; 2.7538
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata;1.14; 0.0702009; 1.0742
automata/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;2.84; 0.0883729; 2.7518
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata;2.73; 0.0863652; 2.6510
automata/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;2.82; 0.0906865; 2.7426
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;0.0; 0.00201059; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;0.14; 0.0351644; 0.1065
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;2.84; 0.0993386; 2.7447
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;0.13; 0.0325799; 0.1065
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;0.0; 0.00101819; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;2.84; 0.0963728; 2.7482
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;2.84; 0.0883741; 2.7521
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata;TO;TO;TO
automata/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;2.84; 0.0979644; 2.7516
automata/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata;TO;TO;TO
