name;simlib-rt-runtime;simlib-rt-parsing;simlib-rt-relation
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata;0.0; 0.00118533; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.09; 0.0894089; 0.0047
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata;1.99; 1.5956; 0.3720
automata/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.09; 0.0887498; 0.0048
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata;0.0; 0.000522082; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.1; 0.0981846; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata;0.12; 0.127858; 0.0063
automata/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.11; 0.105867; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata;0.16; 0.157753; 0.0101
automata/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.09; 0.0894924; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata;0.19; 0.188879; 0.0105
automata/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.09; 0.0879169; 0.0047
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata;1.99; 1.59642; 0.3778
automata/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.09; 0.0886195; 0.0048
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata;0.25; 0.242118; 0.0101
automata/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.09; 0.088836; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata;0.2; 0.189433; 0.0104
automata/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.08; 0.0902045; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata;0.22; 0.222538; 0.0111
automata/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.09; 0.0887457; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata;0.2; 0.188611; 0.0109
automata/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.11; 0.104853; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata;0.0; 0.00246652; 0.0001
automata/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.09; 0.0880523; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata;0.26; 0.257295; 0.0125
automata/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.09; 0.0900514; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata;0.23; 0.221733; 0.0115
automata/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.09; 0.090085; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata;0.27; 0.25462; 0.0128
automata/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.09; 0.0956026; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata;0.29; 0.256342; 0.0187
automata/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.09; 0.0885912; 0.0045
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata;0.27; 0.259407; 0.0132
automata/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.09; 0.0890556; 0.0046
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata;0.02; 0.0257356; 0.0008
automata/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.09; 0.0883131; 0.0046
